,employer,rating_description,culture,leadership,compensation,opportunity,balance,industry,location,size,overall_rating,ceo_approval,num_votes,main industry
919,Cartus,OK,3.5,2.8,2.5,2.7,3.8,Staffing & Outsourcing,CT,144,3.1,79,98,Service
920,Tufts University,Satisfied,3.9,3.7,3.5,3.3,4.1,Colleges & Universities,MA,144,4,85,47,Education
921,FM Global,Very Satisfied,3.9,3.9,3.9,3.5,3.7,Insurance Carriers,RI,144,4.1,100,115,Finance
922,Guardsmark,OK,2.5,2.4,2.4,2.3,2.5,Advertising & Marketing,TX,143,2.6,34,83,Advertising
923,Tommy Bahama,Satisfied,4.2,3.8,4,3.9,4,Consumer Products Manufacturing,FL,143,4,90,99,Manufacture
924,"Cambridge Associates, LLC",Satisfied,3.8,3.3,2.9,3.4,3.8,Investment Banking & Asset Management,VA,143,3.6,99,101,Finance
925,Glassdoor,Very Satisfied,4.6,4.4,4.4,4.3,4.5,Internet,CA,143,4.6,98,125,IT
926,Shaw's,OK,2.1,1.8,2.6,2.3,2.4,Grocery Stores & Supermarkets,RI,143,2.5,20,10,Retail
927,Randstad Technologies,OK,2.9,2.8,3.1,2.9,3.3,Staffing & Outsourcing,TX,143,3.1,75,52,Service
928,Brooks Brothers,OK,3.8,2.9,3.2,2.7,3.3,"Department, Clothing, & Shoe Stores",NY,143,3.4,78,97,Retail
929,Orbital Sciences,OK,3.2,2.7,3.7,3.1,3.4,"Cable, Internet & Telephone Providers",VA,142,3.4,86,91,IT
930,Carter's,OK,3.4,3,2.8,3,2.9,Consumer Products Manufacturing,CA,142,3.2,85,69,Manufacture
931,Memorial Hermann Healthcare,Satisfied,3.5,3.1,3.3,3.3,3.5,Health Care Services & Hospitals,TX,142,3.6,87,90,Health
932,Baylor College of Medicine,OK,3.1,2.8,2.9,2.8,3.3,Colleges & Universities,TX,142,3.3,77,67,Education
933,Echo Global Logistics,OK,3.6,3.2,2.7,3.1,3.3,Transportation Management,TX,142,3.2,88,100,Logistics
934,Youth Villages,OK,3.3,2.5,2.7,3.4,2.3,Health Care Services & Hospitals,NC,142,2.8,59,102,Health
935,Houston Methodist,Satisfied,4,3,3.7,3.4,3.4,Health Care Services & Hospitals,TX,142,3.6,94,52,Health
936,Universal Orlando Resort,Satisfied,3.8,3.1,3.4,3.5,3.5,"Hotels, Motels, & Resorts",FL,142,3.7,89,85,Service
937,MeadWestvaco,OK,2.9,2.7,3.5,3,3.2,Industrial Manufacturing,VA,142,3.1,45,67,Manufacture
938,Varian Medical Systems,Satisfied,3.8,3.3,3.7,3.3,3.7,Health Care Products Manufacturing,UT,142,3.6,92,67,Health
939,Planet Fitness,OK,2.8,2.8,2.3,2.7,3.3,"Health, Beauty, & Fitness",MN,141,3.1,48,45,Service
940,Randstad,OK,3,2.9,2.7,2.9,3.1,Staffing & Outsourcing,VA,141,3.2,64,30,Service
941,dELiA*s,Dissatisfied,2.4,2.2,2.3,2.4,2.4,"Department, Clothing, & Shoe Stores",KS,141,2.2,60,19,Retail
942,Universal Protection Service,Dissatisfied,2.2,2.1,2.1,2.3,2.6,Security Services,PA,140,2.4,43,33,Finance
943,Boston Market,OK,2.8,2.5,2.4,2.8,2.8,Fast-Food & Quick-Service Restaurants,FL,140,2.9,48,49,Service
944,IKON,OK,2.1,2.4,2.4,2.3,2.8,Office Supply Stores,HI,140,2.6,36,24,Retail
945,Siemens Medical Solutions Diagnostics,OK,3.4,2.8,3.5,2.9,3.4,Health Care Services & Hospitals,NY,140,3.2,70,65,Health
946,Blue Coat Systems,Satisfied,3.1,2.9,3.6,3.2,3.7,Computer Hardware & Software,CA,140,3.5,74,49,IT
947,Copart,OK,2.8,2.4,3,2.8,2.7,Auctions & Galleries,CA,140,2.7,48,13,Service
948,Terex,Satisfied,3.8,3.5,3.8,3.6,3.8,Industrial Manufacturing,SC,140,3.7,83,90,Manufacture
949,Hard Rock International,OK,3.7,2.8,3,2.7,2.9,Casual Restaurants,MS,139,3.4,76,46,Service
950,Afni,OK,2.8,2.5,2.8,2.7,2.8,Staffing & Outsourcing,KY,139,2.7,50,36,Service
951,WorldPay,Dissatisfied,2.4,2.3,3.3,2.6,2.8,Financial Transaction Processing,GA,139,2.4,43,42,Finance
952,Gulfstream Aerospace,Satisfied,3.7,3.4,4.2,3.8,3.6,Aerospace & Defense,CA,139,3.9,87,54,Manufacture
953,Duke University Health System,Satisfied,3.6,3.1,3.6,3.5,3.5,Health Care Services & Hospitals,NC,139,3.6,90,63,Health
954,Marsh,OK,3,2.7,3,2.7,3.4,Insurance Agencies & Brokerages,NY,139,3.1,67,33,Service
955,Unum Group,Satisfied,4.1,3.6,4.1,3.8,3.9,Insurance Carriers,TN,139,3.8,94,92,Finance
956,Alcon,OK,2.2,2,3.5,2.4,2.4,Health Care Products Manufacturing,IL,139,2.5,25,14,Health
957,Bluewolf,Satisfied,4,3.4,3.2,3.8,3.7,IT Services,NY,139,3.8,85,56,IT
958,Equity Residential,OK,3.1,2.8,3.3,2.8,2.9,Real Estate,CA,139,3.2,65,93,Real Estate
959,IPSoft,OK,2.9,2.8,3.4,3.3,2.6,IT Services,NY,139,3.1,63,100,IT
960,BI-LO,OK,3,2.6,2.6,2.8,3.1,Grocery Stores & Supermarkets,GA,139,3,61,7,Retail
961,TMX Finance,OK,3,3,3.8,3.6,3.1,Lending,TN,139,3.2,67,93,Finance
962,VCA Antech,Dissatisfied,2.2,1.7,2,2.2,2.1,Veterinary Services,TX,139,2.1,29,73,Service
963,Savvis,OK,3.2,2.7,3.2,2.9,3.4,Enterprise Software & Network Solutions,VA,139,3.1,63,20,IT
964,Barracuda Networks,OK,3,2.7,2.4,2.9,3.2,Computer Hardware & Software,MI,138,2.8,65,43,IT
965,International SOS,OK,3,2.5,2.8,2.6,2.6,Health Care Services & Hospitals,PA,138,2.8,60,81,Health
966,Johns Hopkins University Applied Physics Laboratory,Satisfied,4.1,3.4,3.8,3.8,4.2,Aerospace & Defense,MD,138,4,95,61,Manufacture
967,San Jose State,Satisfied,3.5,2.9,2.6,3.2,3.6,Colleges & Universities,CA,138,3.5,38,39,Education
968,Sunglass Hut,OK,3.4,2.7,2.9,2.9,3.1,Beauty & Personal Accessories Stores,IN,138,3.1,76,20,Retail
969,ExactTarget Marketing Cloud,Very Satisfied,4.3,3.9,3.9,3.9,3.6,Enterprise Software & Network Solutions,IN,138,4.2,94,21,IT
970,Novant Health,OK,3.5,2.9,3.4,3.4,3.2,Health Care Services & Hospitals,NC,137,3.2,86,56,Health
971,Comcast Spotlight,OK,2.9,2.5,3,2.6,2.9,Advertising & Marketing,OR,137,2.9,60,70,Advertising
972,Experis,OK,2.6,2.5,2.8,2.6,3.2,IT Services,MI,137,2.9,64,31,IT
973,HD Supply,OK,2.9,2.6,2.7,2.6,3,Construction,MA,137,3,82,76,Real Estate
974,UPS Freight,OK,2.4,2,3.4,2.7,2.1,Trucking,KS,137,2.6,45,71,Logistics
975,Shaw Industries,OK,3.4,3.2,3.3,3.1,3.2,Industrial Manufacturing,GA,137,3.3,83,91,Manufacture
976,Twentieth Century Fox,Satisfied,3.7,3.2,3.6,3,3.6,Motion Picture Production & Distribution,NY,137,3.7,93,45,Media
977,Getty Images,OK,3.7,2.9,3.4,2.8,3.9,News Outlet,WA,137,3.2,78,91,Media
978,Digital Risk,Dissatisfied,2.3,2,2.9,2.1,3,Investment Banking & Asset Management,FL,136,2.1,34,94,Finance
979,Club Monaco,OK,3,2.2,2.4,2.2,2.6,"Department, Clothing, & Shoe Stores",NY,136,2.8,64,50,Retail
980,University of Tennessee,Satisfied,3.8,3.5,3.5,3.5,3.9,Colleges & Universities,TN,136,3.9,92,37,Education
981,The Goddard School,OK,2.8,2.2,2.2,2.4,2.6,Preschool & Child Care,NJ,136,2.6,57,49,Service
982,Rearden Commerce,Dissatisfied,2.4,2.1,3.1,2.5,3,Computer Hardware & Software,CA,136,2.4,26,110,IT
983,Celestica,OK,2.7,2.5,2.8,2.6,2.7,Architectural & Engineering Services,TX,136,2.9,66,83,Service
984,US Department of Justice,Satisfied,3.3,3,3.7,3.6,3.8,Federal Agencies,NC,136,3.8,83,60,Government
985,Interactive Data,OK,2.6,2.3,2.5,2.3,3.4,News Outlet,CA,136,2.7,46,12,Media
986,Blue Cross (MI),OK,3.6,3.1,3.8,3.2,3.5,Insurance Carriers,MI,136,3.4,81,75,Finance
987,Verengo Solar,Satisfied,4.1,4,3.8,4,3.7,Energy,CA,136,4,85,112,Resource
988,LocalEdge,OK,2.7,2.7,3.3,2.9,3.1,Advertising & Marketing,NY,136,2.8,52,48,Advertising
989,Tyson Foods,Satisfied,3.5,3.4,3.7,3.5,3.5,Food & Beverage Manufacturing,AR,135,3.6,96,54,Retail
990,Dave & Buster's,OK,3.1,2.5,2.6,2.6,2.8,Casual Restaurants,TX,135,2.8,63,63,Service
991,Hamilton Sundstrand,OK,3.1,2.6,3.4,3.3,3.4,Transportation Equipment Manufacturing,IL,135,3.3,36,68,Manufacture
992,Crocs,OK,2.5,2,3.1,2.4,3,Consumer Products Manufacturing,CO,135,2.6,25,75,Manufacture
993,King Soopers,OK,2.8,2.2,2.8,2.9,2.1,Vehicle Dealers,CO,135,2.8,36,61,Retail
994,DeVry Education Group,OK,2.8,2.5,2.8,2.4,3,Colleges & Universities,IL,135,2.8,56,66,Education
995,TASC,OK,3,2.4,3,2.8,3.4,Aerospace & Defense,VA,134,2.8,55,35,Manufacture
996,Comodo,OK,3.1,3,3.2,3.2,3.6,Accounting,NJ,134,3.1,61,108,Accounting
997,Limelight Networks,OK,3.1,2.6,3.2,2.9,3.6,IT Services,CA,134,2.8,40,30,IT
998,Gate Gourmet,Dissatisfied,2.3,2.1,2.2,2.5,2.3,Catering & Food Service Contractors,VA,134,2.4,61,67,Service
999,teleNetwork,OK,3,2.8,2.5,2.8,3.5,Advertising & Marketing,TX,133,2.9,70,76,Advertising
1000,Clemson University,Very Satisfied,4.1,3.6,3.3,3.7,4,Colleges & Universities,SC,133,4.3,100,9,Education
1001,[24]7,OK,3.2,2.8,3.1,3.3,3.3,Advertising & Marketing,CA,133,3.3,73,82,Advertising
1002,"NextEra Energy, Inc.",OK,2.8,2.4,3.4,2.7,2.7,Utilities,FL,133,2.8,47,37,Utilities
1003,Intertek,OK,2.5,2.4,3,2.5,2.9,Research & Development,IL,133,2.8,52,56,Research
1004,MINDBODY,Very Satisfied,4.6,4.1,3.8,4,4.6,Computer Hardware & Software,CA,133,4.3,99,111,IT
1005,Dow Corning,OK,2.8,1.9,3.4,2.7,3.6,Chemical Manufacturing,MI,132,2.8,15,75,Manufacture
1006,Illinois Tool Works,OK,2.7,2.6,3.4,2.9,3.2,Industrial Manufacturing,IL,132,3,67,36,Manufacture
1007,CBS,Satisfied,3.4,3.5,3.7,3.4,3.6,Motion Picture Production & Distribution,NY,132,3.9,92,58,Media
1008,Advance America,OK,2.8,2.6,3,2.9,2.7,Lending,IL,132,2.9,86,57,Finance
1009,UC Santa Cruz,Satisfied,3.7,3.3,3.4,3.4,3.8,Colleges & Universities,CA,132,3.9,86,43,Education
1010,Sanmina-SCI,OK,2.7,2.6,2.8,2.9,2.8,Architectural & Engineering Services,AL,132,2.9,54,80,Service
1011,Norwegian Cruise Line,OK,3.3,2.9,3.1,2.9,2.3,Travel Agencies,AZ,131,3.2,89,50,Service
1012,The University of Alabama,Very Satisfied,4,3.8,3.5,3.5,4,Colleges & Universities,AL,131,4.2,93,63,Education
1013,Thrivent Financial,Satisfied,4,3.4,3.2,3.4,4,Insurance Carriers,CA,131,3.5,88,80,Finance
1014,GfK,OK,3,2.7,2.7,2.9,2.9,Advertising & Marketing,NY,131,2.9,70,15,Advertising
1015,Price Chopper Supermarkets,OK,2.8,2.4,3,2.6,2.6,Food & Beverage Stores,PA,131,2.9,60,20,Retail
1016,Duff & Phelps,OK,2.6,2.5,3.2,2.9,3,Accounting,CA,131,3,63,77,Accounting
1017,Beeline,Very Satisfied,4.8,4.4,4,4.4,4.5,Computer Hardware & Software,FL,131,4.7,98,118,IT
1018,Blue Cross,OK,3.2,2.9,3.5,3.1,3.7,Insurance Carriers,CA,130,3.2,60,57,Finance
1019,Dean Foods,OK,2.6,2.3,3.4,2.6,2.8,Food & Beverage Manufacturing,NJ,130,2.9,54,9,Retail
1020,Young & Rubicam,OK,3,3,2.9,3,3.7,Advertising & Marketing,NY,130,3.4,71,30,Advertising
1021,Public Consulting Group,OK,3,2.9,3.1,3,2.9,Consulting,MA,130,3,69,83,Service
1022,Working Solutions,Very Satisfied,4.1,3.9,3.5,3.6,4.3,Staffing & Outsourcing,CA,130,4.2,91,89,Service
1023,DISYS,OK,3.2,3.1,3.4,3.4,3.3,Computer Hardware & Software,VA,129,3.4,78,81,IT
1024,BE Aerospace,OK,2.8,2.5,3,3,2.5,Aerospace & Defense,NC,129,3.1,69,58,Manufacture
1025,Verint Systems,OK,2.7,2.5,3.1,2.3,3,Enterprise Software & Network Solutions,GA,129,2.9,55,79,IT
1026,Forest Labs,OK,2.9,2.6,3.5,2.8,3.5,Biotech & Pharmaceuticals,NJ,129,3.2,7,16,Health
1027,Volunteers of America,OK,3.4,2.7,2.5,2.7,3.1,Social Assistance,MN,129,3.2,77,33,Service
1028,Constant Contact,Satisfied,3.8,3,3.8,3.4,3.9,Advertising & Marketing,CO,129,3.6,79,107,Advertising
1029,Johns Hopkins Medicine,Satisfied,3.6,3.3,3.5,3.7,3.6,Health Care Services & Hospitals,MD,129,3.8,100,15,Health
1030,Lithium Technologies,Satisfied,3.7,3.4,3.8,3.6,3.7,Enterprise Software & Network Solutions,CA,129,3.7,75,102,IT
1031,tw telecom,Satisfied,3.6,3.3,3.4,3.3,3.7,Telecommunications Services,CO,129,3.7,85,96,IT
1032,GE Oil & Gas,OK,3.7,3.1,3.3,3.7,3.4,Oil & Gas Services,MO,129,3.4,79,35,Service
1033,Space Systems/Loral,OK,2.5,2.2,2.7,2.6,3.2,Aerospace & Defense,CA,129,2.6,22,61,Manufacture
1034,The Bozzuto Group,Satisfied,4.5,4.2,3.7,4.1,3.5,Real Estate,VA,129,4,98,100,Real Estate
1035,ExpressJet Airlines,OK,2.6,2.2,2.6,2.7,2.6,Charter Air Travel,GA,129,3,43,55,Service
1036,ARM Holdings,Very Satisfied,4.1,3.8,4.2,3.8,3.8,Electrical & Electronic Manufacturing,CA,129,4.2,96,31,Manufacture
1037,Safelite,OK,2.9,2.7,3.1,2.9,2.9,Transportation Equipment Manufacturing,GA,129,3,64,33,Manufacture
1038,Auburn University,Very Satisfied,4.3,3.7,3.4,3.6,3.9,Colleges & Universities,AL,128,4.1,92,63,Education
1039,Kuehne + Nagel,OK,2.5,2.4,2.9,2.6,2.9,Transportation Management,IL,128,2.9,87,9,Logistics
1040,Hasbro,Satisfied,3.6,3,3.5,3,3.6,Consumer Products Manufacturing,RI,128,3.5,89,82,Manufacture
1041,Amtrak,OK,2.6,2.6,3.6,3,3.2,Transportation Management,NJ,128,3.3,65,67,Logistics
1042,ON Semiconductor,OK,3.3,2.6,3.1,2.8,3.5,Electrical & Electronic Manufacturing,OR,128,3.1,57,66,Manufacture
1043,Daimler Trucks North America,OK,3,2.8,3.3,3,3.5,Transportation Equipment Manufacturing,OR,128,3.1,87,52,Manufacture
1044,Hilton Grand Vacations,OK,3.6,3,3.3,3.2,3.8,"Hotels, Motels, & Resorts",NV,128,3.3,88,63,Service
1045,Century 21,Satisfied,3.9,3.8,2.9,4,3.6,Real Estate,MD,128,4,100,39,Real Estate
1046,Princess Cruise Lines,Satisfied,3.7,3.2,3.1,3.4,3.3,Sports & Recreation,CA,128,3.6,100,9,Entertainment
1047,FXCM,OK,2.8,2.8,2.6,2.9,3.1,Investment Banking & Asset Management,TX,128,3,59,71,Finance
1048,LanguageLine Solutions,Dissatisfied,1.8,1.7,1.7,1.8,2.7,Telecommunications Services,IL,127,2.3,21,39,IT
1049,United Allergy Services,OK,3.5,3,3.2,3.2,3.9,Health Care Services & Hospitals,TX,127,3.3,0,2,Health
1050,Houston ISD,OK,2.7,2.5,3,2.9,3,Preschool & Child Care,TX,127,2.9,26,41,Service
1051,Time Warner,Satisfied,3.8,3.2,3.8,3.1,3.9,Motion Picture Production & Distribution,GA,127,3.5,86,58,Media
1052,Fujitsu America,OK,2.7,2.2,3,2.6,2.9,Computer Hardware & Software,TX,127,2.7,36,36,IT
1053,Swift Transportation,OK,2.7,2.5,2.5,2.9,2.3,Trucking,CO,127,2.8,61,71,Logistics
1054,Blue Cross and Blue Shield of North Carolina,OK,3.5,3.1,3.8,3.2,3.8,Insurance Carriers,NC,127,3.4,91,59,Finance
1055,Edwards Lifesciences,OK,3,2.5,3.6,3,2.8,Health Care Products Manufacturing,CA,126,2.9,89,92,Health
1056,Dannon,OK,3.1,2.4,3.9,2.7,2.6,Food & Beverage Manufacturing,NY,126,2.8,89,6,Retail
1057,Bentley Systems,Satisfied,3.7,3.2,3.5,3.2,4.1,Computer Hardware & Software,LA,126,3.8,89,85,IT
1058,Univar,Dissatisfied,2,1.9,3.3,2.2,2.8,Wholesale,MI,126,2.2,46,53,Retail
1059,Xcel Energy,OK,3,2.6,3.6,3,3.3,Utilities,CO,126,3.2,64,56,Utilities
1060,Deluxe Entertainment,OK,2.2,2.1,2.7,2.1,2.4,Motion Picture Production & Distribution,CA,126,2.5,30,26,Media
1061,Hanover Insurance,OK,3.2,2.8,3.6,2.9,3.5,Insurance Carriers,MA,126,3,85,71,Finance
1062,Max New York Life Insurance,Satisfied,3.6,3.6,3.7,3.9,3.8,Insurance Carriers,SC,126,3.7,85,27,Finance
1063,Harland Clarke,OK,3.3,2.7,3.2,2.7,3,Commercial Printing,CO,125,3.2,37,63,Service
1064,NC State Employees' Credit Union,OK,3,2.6,2.5,2.8,3.6,Investment Banking & Asset Management,NC,125,2.9,54,66,Finance
1065,"Coca-Cola Enterprises, Inc.",OK,3.1,2.7,3.1,2.7,3.1,Wholesale,GA,125,3.1,21,3,Retail
1066,Teva Pharmaceuticals USA,OK,2.7,2.2,3.4,2.3,3,Biotech & Pharmaceuticals,KS,125,2.9,29,9,Health
1067,Red Bull North America,Satisfied,4.4,3.5,3.7,3.6,3.4,Food & Beverage Manufacturing,TX,125,4,91,58,Retail
1068,Amerigroup,OK,3,2.1,3.1,3,2.9,Insurance Carriers,FL,125,2.8,56,66,Finance
1069,Tutor.com,OK,2.9,2.7,2.6,2.6,3.9,Education Training Services,NY,125,3.1,48,7,Education
1070,LexisNexis Risk Solutions,Satisfied,3.5,3,3.3,3,3.7,News Outlet,IL,125,3.5,89,43,Media
1071,West at Home,OK,2.6,2.4,2,2.2,3.6,Telecommunications Services,NE,125,2.6,47,17,IT
1072,CUNY (City University of New York),Satisfied,3.3,2.7,3.2,3,3.7,Colleges & Universities,NY,125,3.5,77,41,Education
1073,Starcom USA,OK,3.5,3,2.9,3.4,2.9,Motion Picture Production & Distribution,IL,125,3.2,93,28,Media
1074,CommVault,Satisfied,3.5,3.4,3.7,3.7,3.4,Enterprise Software & Network Solutions,NJ,125,3.8,92,80,IT
1075,Children's Healthcare of Atlanta,Satisfied,3.6,2.6,3.4,3.1,3.6,Health Care Services & Hospitals,GA,125,3.5,60,76,Health
1076,Demand Media,OK,3.3,2.7,3,3,3.8,Internet,CA,125,3.1,0,2,IT
1077,Gibson Guitar,Dissatisfied,2.4,1.9,2.8,1.8,2.4,Consumer Products Manufacturing,TN,125,2.4,21,112,Manufacture
1078,Worldwide Express,Very Satisfied,4.2,4,4,3.9,3.7,Logistics & Supply Chain,MI,124,4.1,100,3,Logistics
1079,BMW,Satisfied,3.8,3.5,3.7,3.7,3.9,Transportation Equipment Manufacturing,NJ,124,3.9,88,61,Manufacture
1080,Five Below,OK,2.9,2.5,2.1,2.3,2.8,"Department, Clothing, & Shoe Stores",VA,124,2.5,58,37,Retail
1081,PUMA,Satisfied,3.8,3.1,3.3,3.2,3.7,Consumer Products Manufacturing,MA,124,3.6,94,18,Manufacture
1082,Zaxby's,OK,3.5,2.9,2.2,2.8,3.2,Fast-Food & Quick-Service Restaurants,GA,124,3.2,80,50,Service
1083,Tech Data,OK,3.2,2.6,2.8,3,3.1,Wholesale,FL,124,3.1,84,72,Retail
1084,Earth Fare,Dissatisfied,2.7,2,2.5,2.6,2.6,Grocery Stores & Supermarkets,NC,124,2.4,27,81,Retail
1085,Hardee's,OK,2.6,2.3,2,2.7,2.9,Fast-Food & Quick-Service Restaurants,TN,124,2.7,42,49,Service
1086,Invesco,Satisfied,3.6,3.3,3.5,3.1,3.7,Investment Banking & Asset Management,TX,124,3.5,93,80,Finance
1087,OppenheimerFunds,OK,3.4,3.1,3.6,2.8,4,Investment Banking & Asset Management,CO,124,3.4,64,14,Finance
1088,Fitch Ratings,OK,3.3,2.8,2.6,2.9,4.1,Financial Analytics & Research,NY,124,3.1,60,25,Finance
1089,Brown University,Very Satisfied,4.2,3.6,3.9,3.8,4,Colleges & Universities,RI,124,4.3,81,33,Education
1090,Hinduja Global Solutions,OK,3.2,2.8,2.7,2.8,3.1,Advertising & Marketing,IL,124,3,76,65,Advertising
1091,Ingles Markets,OK,2.8,2.5,2,2.4,2.9,Vehicle Dealers,GA,123,2.8,48,40,Retail
1092,ViaSat,Satisfied,4,3.3,3.6,3.3,3.6,Telecommunications Manufacturing,CA,123,3.5,95,92,Manufacture
1093,Kirkland's,OK,2.5,2.2,2.1,2.3,2.5,Home Furniture & Housewares Stores,AR,123,2.5,43,59,Retail
1094,Adknowledge,Satisfied,3.8,3.6,3.8,3.5,3.5,Advertising & Marketing,MO,123,3.8,80,78,Advertising
1095,PerkinElmer,OK,2.7,2.2,3,2.7,3.4,Electrical & Electronic Manufacturing,NY,123,2.7,47,52,Manufacture
1096,Urban Lending Solutions,Dissatisfied,1.7,1.5,2.6,1.9,2,Financial Transaction Processing,CO,123,1.7,29,71,Finance
1097,The SCOOTER Store,Dissatisfied,2.6,2.1,2.9,2.2,3.2,Wholesale,TX,123,2.4,32,48,Retail
1098,Southern Company,Satisfied,3.5,3,3.5,3.3,3.9,Utilities,GA,122,3.6,81,72,Utilities
1099,INC Research,OK,3.1,2.9,3.1,3.1,3,Biotech & Pharmaceuticals,NC,122,3.1,87,43,Health
1100,Symetra,OK,2.7,2.5,3.1,2.8,3.2,Insurance Carriers,WA,122,2.7,51,74,Finance
1101,Papa Murphys,OK,3.4,2.8,2.4,2.8,3.4,Fast-Food & Quick-Service Restaurants,WA,122,3.1,3,4,Service
1102,Aurora Health Care,OK,3.2,2.8,3.3,3.3,3.2,Health Care Services & Hospitals,WI,122,3.2,61,64,Health
1103,Intacct Corporation,Very Satisfied,4.8,4.7,4.5,4.4,4.7,Computer Hardware & Software,CA,122,4.8,99,103,IT
1104,Argonne National Laboratory,Very Satisfied,3.9,3.6,4,3.5,4.4,Accounting,IL,121,4.1,100,7,Accounting
1105,British Airways,OK,3.2,2.6,3,2.9,3.2,Airlines,PA,121,3.2,54,48,Logistics
1106,Trimble Navigation,Satisfied,3.6,2.9,3.2,3.2,3.9,Telecommunications Manufacturing,CA,121,3.6,85,83,Manufacture
1107,West Virginia University,Satisfied,3.7,3.1,3.3,3.1,3.8,Colleges & Universities,WV,121,3.7,72,52,Education
1108,DuPont Pioneer,Satisfied,3.8,3,3.8,3.5,3.6,Biotech & Pharmaceuticals,IA,120,3.8,88,60,Health
1109,Logan's Roadhouse,OK,3,2.6,2.6,2.9,3.1,Casual Restaurants,AR,120,2.9,50,22,Service
1110,MWH Global,OK,3.4,3,3.2,3.3,3.6,Architectural & Engineering Services,CO,120,3.4,86,34,Service
1111,Valeo,OK,3.5,2.9,3.5,3.3,2.5,Transportation Equipment Manufacturing,MI,120,3.2,80,25,Manufacture
1112,Responsys,Satisfied,3.6,3.6,3.4,3.4,3.7,Computer Hardware & Software,NY,120,3.8,93,102,IT
1113,Software AG,OK,2.6,2.5,3.3,2.7,3.5,Computer Hardware & Software,VA,120,3,49,75,IT
1114,Otis Elevator,OK,3,2.5,3.3,3,2.8,Electrical & Electronic Manufacturing,TN,120,3.1,60,36,Manufacture
1115,Steelcase,Satisfied,4.1,3.6,3.7,3.5,3.9,Consumer Products Manufacturing,MI,120,3.9,83,13,Manufacture
1116,Jackson National Life,OK,3.4,3,3.8,3.2,3.5,Insurance Carriers,MI,120,3.2,85,54,Finance
1117,Qdoba,OK,3.6,3.1,2.9,3.2,2.9,Casual Restaurants,CO,120,3.2,66,25,Service
1118,OMD,OK,2.6,2.5,2.8,3,2.4,Advertising & Marketing,NY,120,2.8,66,44,Advertising
1119,Invensys,OK,3.5,2.7,3.5,3.4,3.5,Electrical & Electronic Manufacturing,CA,119,3.4,79,19,Manufacture
1120,ModCloth,OK,3,2.2,2.9,2.7,3.7,"Department, Clothing, & Shoe Stores",PA,119,2.7,46,65,Retail
1121,VeriFone,OK,2.4,2.2,2.8,2.2,2.5,Research & Development,CA,119,2.5,59,26,Research
1122,Universal Music Group,OK,3.1,3,3.5,2.9,3.6,Music Production & Distribution,CA,119,3.4,63,34,Media
1123,QuinStreet,OK,3.1,2.6,3.1,2.8,3.5,Advertising & Marketing,OR,119,2.9,68,85,Advertising
1124,Spirit AeroSystems,OK,2.4,2.1,3.6,2.9,3.2,Aerospace & Defense,OK,119,2.8,39,19,Manufacture
1125,Dana-Farber Cancer Institute,Satisfied,4,3.3,3.4,3.4,3.7,Health Care Services & Hospitals,MA,119,3.8,90,62,Health
1126,Meredith Corporation,Satisfied,3.4,3.1,3.1,2.9,3.8,Publishing,NY,119,3.5,71,68,Media
1127,Landry's,Dissatisfied,2,2.2,2.4,2.8,2.4,Casual Restaurants,TX,119,2.3,28,58,Service
1128,Coty,OK,3,2.6,3.5,2.8,2.9,Consumer Products Manufacturing,NY,119,3.2,81,29,Manufacture
1129,Cedar Fair,OK,3,2.9,2.5,2.9,2.5,"Museums, Zoos & Amusement Parks",OH,119,3.3,95,36,Entertainment
1130,Atmel,OK,2.2,2.2,3,2.3,3.3,Electrical & Electronic Manufacturing,CA,118,2.6,39,78,Manufacture
1131,Magellan Health,Satisfied,3.3,2.9,3.5,3,3.4,Insurance Carriers,CT,118,3.6,86,20,Finance
1132,RSA Security,OK,3.3,2.3,3.3,3,3.6,Enterprise Software & Network Solutions,MO,118,3.1,61,68,IT
1133,Hotwire,OK,3,2.9,2.9,3.1,4.1,"Health, Beauty, & Fitness",CA,118,2.9,48,33,Service
1134,Corporation Service Company,Very Satisfied,4.5,4,3.8,3.9,4.2,Consulting,DE,118,4.3,99,72,Service
1135,RTI International,OK,3.7,3,3.5,3.2,3.8,Research & Development,NC,118,3.4,75,38,Research
1136,MySpace,OK,3.4,2.2,3.9,3.1,3.6,Motion Picture Production & Distribution,CA,118,3.3,99,3,Media
1137,Indeed,OK,3.4,3.1,3.3,2.8,3.4,Motion Picture Production & Distribution,CT,118,3.2,91,34,Media
1138,Baskin Robbins,Satisfied,3.4,3.2,2.3,2.8,3.7,Food & Beverage Manufacturing,TX,118,3.5,80,19,Retail
1139,Jeppesen Sanderson,OK,2.8,2.3,3.4,2.4,3.2,Publishing,CO,118,2.9,52,73,Media
1140,City of Hope,OK,3.3,2.4,3.4,3,3.1,Health Care Services & Hospitals,CA,118,3.3,62,11,Health
1141,Educational Testing Service,Satisfied,3.9,3.1,3.7,3,4,Education Training Services,NJ,118,3.6,91,59,Education
1142,Aptean,OK,2.4,2.3,2.5,2.5,3.1,Computer Hardware & Software,GA,118,2.5,47,58,IT
1143,Systems Evolution,Very Satisfied,4.8,4.7,4.8,4.6,4.7,Consulting,MA,118,4.8,100,2,Service
1144,Arhaus Furniture,OK,2.4,2.2,2.6,2.7,2.2,Home Furniture & Housewares Stores,OH,117,2.6,50,89,Retail
