,employer,rating_description,culture,leadership,compensation,opportunity,balance,industry,location,size,overall_rating,ceo_approval,num_votes,main industry
52,Whole Foods Market,Satisfied,3.9,3.1,3.6,3.5,3.3,Grocery Stores & Supermarkets,TX,1575,3.6,82,624,Retail
53,Citibank,OK,3.2,2.8,3.4,3.1,3.1,Investment Banking & Asset Management,KY,1529,3.2,78,370,Finance
54,Raytheon,OK,3.2,2.8,3.7,3.1,3.7,Aerospace & Defense,VA,1529,3.4,81,710,Manufacture
55,Motorola Mobility,Satisfied,3.4,2.9,3.6,3,3.5,Telecommunications Manufacturing,CA,1526,3.5,71,40,Manufacture
56,Forever 21,Dissatisfied,2.3,2.1,2,2.4,2.5,"Department, Clothing, & Shoe Stores",NY,1480,2.4,29,616,Retail
57,Northwestern Mutual,Satisfied,4,3.8,3.2,3.7,3.7,Brokerage Services,IL,1456,3.7,98,289,Service
58,Johnson & Johnson,Satisfied,3.8,3.1,3.8,3.4,3.7,Biotech & Pharmaceuticals,PA,1451,3.8,89,421,Health
59,Convergys,OK,2.7,2.5,2.8,2.9,2.8,Advertising & Marketing,KY,1450,2.8,61,329,Advertising
60,GameStop,OK,2.8,2.7,2.5,2.7,2.8,Toy & Hobby Stores,NJ,1416,2.8,50,682,Manufacture
61,Nokia,Satisfied,4,2.8,3.7,3.2,4.2,Telecommunications Manufacturing,CA,1412,3.8,54,85,Manufacture
62,Coca-Cola Company,OK,3.1,2.7,3.3,2.9,2.9,Food & Beverage Manufacturing,AZ,1401,3.1,68,379,Retail
63,VMware,Satisfied,3.5,3,3.8,3.2,3.6,Computer Hardware & Software,CA,1392,3.6,85,456,IT
64,Panera Bread,OK,3.6,2.8,2.7,2.9,3,Casual Restaurants,NY,1366,3.1,77,230,Service
65,Credit Suisse,Satisfied,3.4,3,3.3,3.2,3.3,Investment Banking & Asset Management,NY,1363,3.5,79,610,Finance
66,Time Warner Cable,OK,3,2.6,3.7,3.1,3,"Cable, Internet & Telephone Providers",FL,1353,3.2,50,148,IT
67,State Street,OK,2.7,2.4,2.5,2.7,3.2,Investment Banking & Asset Management,MA,1352,2.7,50,437,Finance
68,Allstate,OK,3.5,3,3.3,3.2,3.6,Insurance Carriers,GA,1350,3.4,66,681,Finance
69,Costco Wholesale,Satisfied,3.8,3.3,4.3,3.6,3.5,General Merchandise & Superstores,CA,1338,3.9,93,594,Retail
70,Publix,Satisfied,3.9,3.3,3.9,3.7,3.2,Grocery Stores & Supermarkets,GA,1320,3.7,88,774,Retail
71,The Nielsen Company,OK,3.4,3,2.9,3.4,3,Research & Development,CA,1264,3.4,81,168,Research
72,Aon Hewitt,OK,3.2,2.7,2.9,2.9,3.2,Accounting,VA,1246,3.1,76,342,Accounting
73,FedEx,Satisfied,3.6,3.3,3.5,3.2,3.5,Express Delivery Services,FL,1223,3.7,88,789,Logistics
74,Toys ''R'' Us,OK,2.8,2.6,2.4,2.6,2.9,Toy & Hobby Stores,AL,1215,2.8,48,168,Manufacture
75,Merrill Lynch,Satisfied,3.4,3.3,3.3,3.4,3.5,Brokerage Services,NJ,1213,3.6,78,339,Service
76,Texas Instruments,Satisfied,3.7,3.1,3.8,3.4,3.7,Electrical & Electronic Manufacturing,TX,1212,3.7,73,760,Manufacture
77,Subway,OK,2.8,2.7,2.2,2.5,3.1,Fast-Food & Quick-Service Restaurants,MI,1188,3.1,73,409,Service
78,Pfizer,Satisfied,3.4,3.1,3.8,3.2,3.5,Biotech & Pharmaceuticals,PA,1179,3.5,76,411,Health
79,TD Bank,Satisfied,3.8,3.1,3.3,3.5,3.3,Banks & Credit Unions,NC,1175,3.5,85,10,Finance
80,NetApp,Satisfied,3.9,3.2,3.7,3.3,3.9,Enterprise Software & Network Solutions,NC,1160,3.7,80,678,IT
81,eBay Inc.,Satisfied,3.7,3.2,3.9,3.5,3.7,Internet,NH,1157,3.7,87,781,IT
82,SAIC,Satisfied,3.5,3,3.4,3.2,3.7,Enterprise Software & Network Solutions,CA,1156,3.5,81,105,IT
83,Disney Parks & Resorts,Satisfied,4.2,3.2,3.2,3.5,3.3,"Museums, Zoos & Amusement Parks",FL,1142,3.8,88,2,Entertainment
84,Dollar General,OK,2.5,2.2,2.3,2.8,2.1,General Merchandise & Superstores,MS,1120,2.5,46,598,Retail
85,Adobe,Satisfied,4.1,3.3,4.2,3.4,4,Computer Hardware & Software,CA,1100,3.9,84,787,IT
86,Salesforce,Satisfied,3.8,3.3,4.1,3.7,3.5,Computer Hardware & Software,CA,1053,3.8,94,875,IT
87,OfficeMax,OK,3,2.5,2.7,2.6,3.1,Office Supply Stores,VA,1053,2.9,42,126,Retail
88,Michaels Stores,OK,3,2.6,2.4,2.7,3,Toy & Hobby Stores,NJ,1022,2.9,51,168,Manufacture
89,MetLife,OK,3,2.6,3.3,2.8,3.4,Insurance Carriers,FL,1016,3.1,67,343,Finance
90,Ross Stores,OK,2.6,2.5,2.4,2.6,2.7,"Department, Clothing, & Shoe Stores",ID,1012,2.6,50,398,Retail
91,Avaya,OK,2.8,2.3,3.2,2.7,3.2,Telecommunications Manufacturing,GA,1011,3,39,564,Manufacture
92,GE Healthcare,OK,3.4,2.9,3.2,3.2,3.2,Health Care Products Manufacturing,CO,1006,3.3,85,9,Health
93,Rite Aid,OK,2.7,2.4,2.7,2.7,2.8,Drug & Health Stores,MI,989,2.7,48,389,Health
94,General Motors,Satisfied,3.2,3,3.7,3.2,3.5,Transportation Equipment Manufacturing,GA,978,3.5,88,157,Manufacture
95,Broadcom,Satisfied,3.3,2.8,3.6,3.3,3.2,Electrical & Electronic Manufacturing,CA,956,3.5,52,487,Manufacture
96,NCR,OK,2.9,2.7,3,2.9,2.9,Computer Hardware & Software,GA,922,3,53,642,IT
97,Edward Jones,Satisfied,4.1,3.6,3.4,3.6,3.5,Investment Banking & Asset Management,IL,912,3.7,91,616,Finance
98,Dick's Sporting Goods,OK,3,2.5,2.7,2.7,3,Sporting Goods Stores,NH,894,3,62,328,Retail
99,Ford Motor Company,Satisfied,3.8,3.5,3.8,3.5,3.7,Transportation Equipment Manufacturing,MI,894,3.8,88,61,Manufacture
100,Banana Republic,OK,3.6,3.2,2.9,2.9,3.3,"Department, Clothing, & Shoe Stores",IN,892,3.4,82,354,Retail
101,GEICO,OK,3.1,2.8,3.7,3.5,2.8,Insurance Carriers,WA,884,3,81,615,Finance
102,Fiserv,OK,2.6,2.2,2.7,2.5,3,Investment Banking & Asset Management,OH,874,2.6,43,538,Finance
103,AECOM,OK,2.6,2.2,3.1,2.8,3,Architectural & Engineering Services,NC,870,2.7,51,84,Service
104,LinkedIn,Very Satisfied,4.6,4.3,4.4,4.3,4.3,Internet,CA,870,4.6,98,798,IT
105,NIKE,Satisfied,4.1,3.4,3.6,3.5,3.8,Consumer Products Manufacturing,OR,868,4,95,552,Manufacture
106,Bed Bath & Beyond,OK,3,2.5,2.6,2.4,2.6,Home Furniture & Housewares Stores,NJ,867,2.8,45,364,Retail
107,BP,Satisfied,3.6,3.1,3.9,3.3,3.9,Oil & Gas Exploration & Production,NY,861,3.6,86,375,Manufacture
108,Sherwin-Williams,Satisfied,3.4,3,3.7,3.5,2.9,Chemical Manufacturing,FL,860,3.5,83,552,Manufacture
109,Kelly Services,OK,3.2,3,2.8,3.1,3.3,Staffing & Outsourcing,CA,856,3.2,73,277,Service
110,Aerotek,OK,3.3,3.1,2.9,3.3,2.8,Staffing & Outsourcing,TX,842,3.3,81,282,Service
111,USAA,Satisfied,4,3.2,4.1,3.2,3.4,Insurance Carriers,AZ,834,3.6,93,629,Finance
112,Facebook,Very Satisfied,4.5,4.2,4.4,4.3,4,Internet,WA,817,4.5,96,712,IT
113,Hollister Co.,OK,2.8,2.7,2.2,2.5,3.4,Consumer Products Manufacturing,IL,814,3,20,269,Manufacture
114,Genentech,Satisfied,4,3.3,4.1,3.4,3.7,Biotech & Pharmaceuticals,CA,813,3.9,88,328,Health
115,PayPal,OK,3.4,2.8,3.7,3.1,3.5,Internet,CA,810,3.4,86,20,IT
116,Barclays Capital,OK,2.7,2.6,3.1,2.9,3.1,Investment Banking & Asset Management,DE,786,3,42,52,Finance
117,Advantage Sales and Marketing,OK,3,2.8,2.7,2.9,3.2,Staffing & Outsourcing,OR,785,2.9,57,202,Service
118,Unilever,Satisfied,3.9,3.3,3.4,3.2,3.3,Consumer Products Manufacturing,NJ,773,3.6,90,431,Manufacture
119,Humana,OK,3.3,2.8,3.3,3.2,3.2,Insurance Carriers,KY,770,3.2,84,225,Finance
120,Ann Taylor,OK,3.5,2.9,3.1,3,3.2,"Department, Clothing, & Shoe Stores",NY,765,3.3,82,377,Retail
121,AIG,OK,2.6,2.4,3.1,2.7,3.1,Insurance Carriers,GA,761,2.8,54,29,Finance
